# {"t_start": 1602725079.5401027, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-48,50,42351.621639
-48,50,42405.842318
-49,50,42460.098397
-50,50,42514.339563
-50,50,42568.593089
-50,50,42622.873516
-48,50,42677.097915
-50,50,42731.277346
-49,50,42785.553286
-50,50,42839.766948
-50,50,42894.029638
-50,50,42948.248326
-50,50,43002.539969
-50,50,43056.758531
-50,50,43110.972407
-48,50,43165.211282
-50,50,43219.459577
-50,50,43273.688831
-49,50,43327.946335
-50,50,43382.246239
-49,50,43436.475421
-50,50,43490.758887
-49,50,43544.997055
-50,50,43599.18633
-49,50,43653.418036
-50,50,43707.613538
-50,50,43761.829416
-50,50,43816.040476
-49,50,43870.23487
-50,50,43924.482373
-49,50,43978.719334
-48,50,44032.958608
-50,50,44087.2278
-48,50,44141.404957
-50,50,44195.660449
-50,50,44249.899221
-50,50,44304.159297
-49,50,44358.389982
-48,50,44412.624681
-50,50,44466.85577
-50,50,44521.102185
-48,50,44575.370322
-49,50,44629.577794
-50,50,44683.825102
-5,50,44738.087851
-2,50,44789.881181
-4,50,44841.679109
-3,50,44893.51679
-3,50,44945.379349
-2,50,44997.206502
-2,50,45049.010172
-2,50,45100.82407
-5,50,45152.620582
-2,50,45204.412209
-50,50,45256.246502
-46,50,45310.455419
-50,50,45364.66432
-49,50,45418.895365
-49,50,45473.141876
-50,50,45527.381798
-49,50,45581.611844
-50,50,45635.903812
-49,50,45690.154407
-50,50,45744.382928
-50,50,45798.544055
-49,50,45852.821834
-50,50,45907.055001
-50,50,45961.28166
-50,50,46015.471755
-50,50,46069.676982
-47,50,46123.927372
-50,50,46178.144247
-49,50,46232.335336
-50,50,46286.562537
-48,50,46340.787982
-49,50,46395.014711
-50,50,46449.213893
-50,50,46503.422998
-49,50,46557.647526
-49,50,46611.909159
-49,50,46666.186097
-50,50,46720.329854
-50,50,46774.553515
-49,50,46828.808084
-50,50,46883.04771
-49,50,46937.264281
-48,50,46991.539883
-50,50,47045.771994
-50,50,47099.991063
-50,50,47154.200947
-50,50,47208.388545
-50,50,47262.585423
-50,50,47316.77512
-50,50,47370.993942
-48,50,47425.241158
-50,50,47479.436853
-50,50,47533.612894
-49,50,47587.797486
-48,50,47641.996744
-49,50,47696.250538
-49,50,47750.504466
-50,50,47804.786978
-50,50,47859.022617
-50,50,47913.219186
-3,50,47967.42488
-3,50,48019.236926
-3,50,48071.038888
-3,50,48122.832747
-2,50,48174.626628
-2,50,48226.427192
-2,50,48278.230453
-3,50,48330.023882
-2,50,48381.819912
-3,50,48433.630485
-49,50,48485.468377
-49,50,48539.771712
-50,50,48594.000924
-50,50,48648.242926
-49,50,48702.464384
-50,50,48756.714899
-50,50,48810.94258
-50,50,48865.148199
-50,50,48919.385696
-48,50,48973.607367
-47,50,49027.871865
-50,50,49082.127618
-50,50,49136.345212
-50,50,49190.526433
-50,50,49244.765131
-49,50,49298.991171
-50,50,49353.25584
-50,50,49407.48108
-50,50,49461.744054
-50,50,49515.996386
-50,50,49570.286996
-48,50,49624.512872
-49,50,49678.77566
-50,50,49733.047911
-50,50,49787.256305
-50,50,49841.466886
-50,50,49895.653111
-49,50,49949.882826
-50,50,50004.133406
-47,50,50058.353175
-49,50,50112.572591
-50,50,50166.854263
-49,50,50221.071423
-50,50,50275.298984
-50,50,50329.55479
-49,50,50383.789699
-50,50,50437.958564
-49,50,50492.190411
-50,50,50546.378286
-49,50,50600.58971
-50,50,50654.852168
-50,50,50709.115228
-49,50,50763.345282
-48,50,50817.62693
-50,50,50871.86913
-50,50,50926.133064
-49,50,50980.382325
-49,50,51034.560526
-50,50,51088.796324
-50,50,51143.046478
-3,50,51197.350963
-3,50,51249.196687
-3,50,51301.053901
-3,50,51352.85385
-5,50,51404.654122
-3,50,51456.466364
-2,50,51508.261196
-8,50,51560.05819
-6,50,51611.863437
-2,50,51663.662725
-50,50,51715.48579
-49,50,51769.825812
-49,50,51824.011646
-50,50,51878.215332
-49,50,51932.41144
-50,50,51986.646165
-49,50,52040.833574
-50,50,52095.080396
-50,50,52149.28934
-49,50,52203.496568
-50,50,52257.778396
-49,50,52312.016401
-50,50,52366.253702
-50,50,52420.494965
-50,50,52474.724944
-50,50,52528.953865
-50,50,52583.277187
-50,50,52637.48572
-50,50,52691.835473
-50,50,52746.054886
-49,50,52800.24352
-49,50,52854.46235
-50,50,52908.649407
-50,50,52962.859064
-50,50,53017.081457
-50,50,53071.3097
-50,50,53125.551734
-50,50,53179.757962
-50,50,53234.004659
-49,50,53288.290137
-49,50,53342.533991
-50,50,53396.763565
-50,50,53450.972293
-49,50,53505.231147
-50,50,53559.523493
-50,50,53613.786843
-50,50,53668.008171
-49,50,53722.205869
-49,50,53776.461332
-50,50,53830.699142
-50,50,53884.905915
-50,50,53939.090118
-49,50,53993.341793
-49,50,54047.555694
-50,50,54101.757511
-48,50,54156.003828
-49,50,54210.280689
-48,50,54264.517071
-50,50,54318.783654
-50,50,54372.990197
-2,50,54427.18977
-3,50,54479.001681
-3,50,54530.80707
-2,50,54582.621297
-3,50,54634.443856
-2,50,54686.256339
-3,50,54738.081301
-3,50,54789.901594
-3,50,54841.705105
-2,50,54893.508322
-49,50,54945.33441
-49,50,54999.660963
-49,50,55053.946543
-48,50,55108.172984
-49,50,55162.452965
-50,50,55216.676813
-46,50,55270.908452
-50,50,55325.153796
-50,50,55379.396238
-50,50,55433.612377
-48,50,55487.866382
-50,50,55542.109016
-50,50,55596.350694
-49,50,55650.581947
-50,50,55704.81222
-50,50,55759.050189
-49,50,55813.242978
-50,50,55867.453999
-50,50,55921.689544
-50,50,55975.895964
-50,50,56030.156173
-50,50,56084.407522
-50,50,56138.584942
